,Player,Nation,Pos_x,Squad,Age,MP,Starts,Min,90s,Gls,Ast,Height,Foot,Market Value,Year
238,Ainsley Maitland-Niles,ENG,DF,Arsenal,21,20,15,1386,15.4,0,2,180.0,right,17600000.0,2019.0
239,Ainsley Maitland-Niles,ENG,DF,Arsenal,21,20,15,1386,15.4,0,2,180.0,right,17600000.0,2019.0
240,Sadio Mané,SEN,FW,Liverpool,27,35,31,2747,30.5,18,7,174.0,right,93500000.0,2019.0
241,Javier Manquillo,ESP,DF,Newcastle Utd,25,21,18,1599,17.8,0,1,178.0,right,3300000.0,2019.0
242,Solly March,ENG,FW,Brighton,25,19,11,1143,12.7,0,1,180.0,left,9900000.0,2019.0
243,Pablo Marí,ESP,DF,Arsenal,25,2,2,113,1.3,0,0,193.0,left,7700000.0,2019.0
244,Adrian Mariappa,JAM,DF,Watford,32,20,15,1513,16.8,0,0,179.0,right,1760000.0,2019.0
245,Anthony Martial,FRA,FW,Manchester Utd,23,32,31,2624,29.2,17,6,181.0,right,49500000.0,2019.0
246,David Martin,ENG,GK,West Ham,33,5,4,436,4.8,0,0,188.0,right,275000.0,2019.0
247,Emiliano Martínez,ARG,GK,Arsenal,26,9,8,771,8.6,0,0,195.0,right,33000000.0,2019.0
248,Emiliano Martínez,ARG,GK,Arsenal,26,9,8,771,8.6,0,0,195.0,right,33000000.0,2019.0
249,Adam Masina,MAR,DF,Watford,25,26,20,1821,20.2,1,0,191.0,left,6050000.0,2019.0
250,Arthur Masuaku,COD,DF,West Ham,25,17,10,937,10.4,0,1,179.0,left,7700000.0,2019.0
251,Juan Mata,ESP,FW,Manchester Utd,31,19,8,758,8.4,0,2,170.0,left,4400000.0,2019.0
252,Neal Maupay,FRA,FW,Brighton,22,37,30,2766,30.7,10,3,173.0,right,22000000.0,2019.0
253,James McArthur,SCO,MF,Crystal Palace,31,37,37,3090,34.3,0,3,178.0,both,2200000.0,2019.0
254,Oliver McBurnie,SCO,FW,Sheffield Utd,23,36,24,2113,23.5,6,0,188.0,right,11000000.0,2019.0
255,Alex McCarthy,ENG,GK,Southampton,29,28,28,2520,28.0,0,0,193.0,right,5500000.0,2019.0
256,James McCarthy,IRL,MF,Crystal Palace,28,33,16,1680,18.7,0,0,180.0,right,3300000.0,2019.0
257,John McGinn,SCO,MF,Aston Villa,24,28,27,2312,25.7,3,3,178.0,left,33000000.0,2019.0
258,David McGoldrick,IRL,FW,Sheffield Utd,31,28,22,1815,20.2,2,2,184.0,right,1650000.0,2019.0
259,Michael McGovern,NIR,GK,Norwich City,35,2,1,159,1.8,0,0,190.0,right,330000.0,2019.0
260,Kenny McLean,SCO,MF,Norwich City,27,37,32,2968,33.0,1,1,180.0,left,3850000.0,2019.0
261,Dwight McNeil,ENG,MF,Burnley,19,38,38,3338,37.1,2,6,183.0,left,24200000.0,2019.0
262,Scott McTominay,SCO,MF,Manchester Utd,22,27,20,1772,19.7,4,1,191.0,right,38500000.0,2019.0
263,Ben Mee,ENG,DF,Burnley,29,32,32,2880,32.0,1,1,180.0,left,6600000.0,2019.0
264,Benjamin Mendy,FRA,DF,Manchester City,25,19,18,1492,16.6,0,2,185.0,left,22000000.0,2019.0
265,Nampalys Mendy,SEN,MF,Leicester City,27,7,4,291,3.2,0,0,167.0,right,8800000.0,2019.0
266,Chris Mepham,WAL,DF,Bournemouth,21,12,10,912,10.1,1,0,191.0,right,8800000.0,2019.0
267,Max Meyer,GER,FW,Crystal Palace,23,17,6,655,7.3,0,0,173.0,right,1650000.0,2019.0
268,James Milner,ENG,DF,Liverpool,33,22,9,937,10.4,2,2,175.0,right,3300000.0,2019.0
269,Yerry Mina,COL,DF,Everton,24,29,25,2284,25.4,2,1,195.0,right,22000000.0,2019.0
270,Takumi Minamino,JPN,MF,Liverpool,24,10,2,249,2.8,0,0,174.0,right,13200000.0,2019.0
271,Takumi Minamino,JPN,MF,Liverpool,24,10,2,249,2.8,0,0,174.0,right,13200000.0,2019.0
272,Tyrone Mings,ENG,DF,Aston Villa,26,33,33,2902,32.2,2,2,195.0,left,33000000.0,2019.0
273,Tyrick Mitchell,ENG,DF,Crystal Palace,19,4,2,195,2.2,0,0,175.0,left,7700000.0,2019.0
274,Simon Moore,ENG,GK,Sheffield Utd,29,2,2,180,2.0,0,0,191.0,right,440000.0,2019.0
275,Wes Morgan,JAM,DF,Leicester City,35,11,4,436,4.8,0,0,185.0,right,440000.0,2019.0
276,Mason Mount,ENG,FW,Chelsea,20,37,32,2867,31.9,7,5,180.0,right,82500000.0,2019.0
277,Lucas Moura,BRA,MF,Tottenham,26,35,25,2242,24.9,4,4,172.0,right,27500000.0,2019.0
278,Lys Mousset,FRA,FW,Sheffield Utd,23,30,11,1240,13.8,6,4,184.0,right,9900000.0,2019.0
279,João Moutinho,POR,MF,Wolves,32,38,34,3108,34.5,1,6,170.0,right,4400000.0,2019.0
280,Shkodran Mustafi,GER,DF,Arsenal,27,15,13,1207,13.4,0,1,184.0,right,2750000.0,2019.0
281,Marvelous Nakamba,ZIM,MF,Aston Villa,25,29,19,1836,20.4,0,0,177.0,left,7700000.0,2019.0
282,Wilfred Ndidi,NGA,MF,Leicester City,22,32,29,2674,29.7,2,1,183.0,right,66000000.0,2019.0
283,Reiss Nelson,ENG,FW,Arsenal,19,17,7,631,7.0,1,0,175.0,right,9900000.0,2019.0
284,Pedro Neto,POR,MF,Wolves,19,29,9,939,10.4,3,3,172.0,left,38500000.0,2019.0
285,Rúben Neves,POR,MF,Wolves,22,38,35,3056,34.0,2,2,180.0,right,49500000.0,2019.0
286,Eddie Nketiah,ENG,FW,Arsenal,20,13,7,633,7.0,2,0,180.0,right,17600000.0,2019.0
287,Mark Noble,ENG,MF,West Ham,32,33,32,2674,29.7,4,3,180.0,right,2200000.0,2019.0
288,Oliver Norwood,NIR,MF,Sheffield Utd,28,38,37,3090,34.3,1,1,175.0,right,5500000.0,2019.0
289,Jack O'Connell,ENG,DF,Sheffield Utd,25,33,32,2916,32.4,0,1,191.0,left,5500000.0,2019.0
290,Michael Obafemi,IRL,FW,Southampton,19,21,8,665,7.4,3,2,170.0,right,3300000.0,2019.0
291,Angelo Ogbonna,ITA,DF,West Ham,31,31,31,2786,31.0,2,0,191.0,left,2750000.0,2019.0
292,Divock Origi,BEL,FW,Liverpool,24,28,7,717,8.0,4,1,185.0,right,13200000.0,2019.0
293,Ben Osborn,ENG,DF,Sheffield Utd,24,13,6,594,6.6,0,0,176.0,left,2200000.0,2019.0
294,Nicolás Otamendi,ARG,DF,Manchester City,31,24,18,1715,19.1,2,0,183.0,right,8800000.0,2019.0
295,Alex Oxlade-Chamberlain,ENG,FW,Liverpool,25,30,17,1485,16.5,4,1,175.0,right,19800000.0,2019.0
296,Rui Patrício,POR,GK,Wolves,31,38,38,3420,38.0,0,0,190.0,left,11000000.0,2019.0
297,João Pedro,BRA,MF,Watford,17,3,0,25,0.3,0,0,182.0,right,19800000.0,2019.0
298,Nicolas Pépé,CIV,FW,Arsenal,24,31,22,2010,22.3,5,6,183.0,left,38500000.0,2019.0
299,Ricardo Pereira,POR,DF,Leicester City,25,28,28,2520,28.0,3,2,175.0,right,33000000.0,2019.0
300,Roberto Pereyra,ARG,MF,Watford,28,28,17,1648,18.3,3,0,182.0,both,9900000.0,2019.0
301,Ayoze Pérez,ESP,FW,Leicester City,26,33,26,2004,22.3,8,4,178.0,right,19800000.0,2019.0
302,Jordan Pickford,ENG,GK,Everton,25,38,38,3420,38.0,0,0,185.0,left,24200000.0,2019.0
303,Brandon Pierrick,ENG,FW,Crystal Palace,17,2,0,15,0.2,0,0,182.0,right,275000.0,2019.0
304,Erik Pieters,NED,MF,Burnley,30,24,21,1878,20.9,0,4,183.0,left,1650000.0,2019.0
305,Daniel Podence,POR,MF,Wolves,23,9,3,289,3.2,1,0,165.0,right,27500000.0,2019.0
306,Paul Pogba,FRA,MF,Manchester Utd,26,16,13,1204,13.4,1,3,191.0,both,66000000.0,2019.0
307,Nick Pope,ENG,GK,Burnley,27,38,38,3420,38.0,0,0,198.0,right,16500000.0,2019.0
308,Dennis Praet,BEL,MF,Leicester City,25,27,12,1134,12.6,1,2,181.0,right,19800000.0,2019.0
309,Sebastian Prödl,AUT,DF,Watford,32,1,1,56,0.6,0,0,194.0,right,1320000.0,2019.0
310,Davy Pröpper,NED,MF,Brighton,27,35,32,2829,31.4,1,2,185.0,right,8800000.0,2019.0
311,Teemu Pukki,FIN,FW,Norwich City,29,36,33,2886,32.1,11,3,180.0,right,8800000.0,2019.0
312,Christian Pulisic,USA,FW,Chelsea,20,25,19,1722,19.1,9,4,177.0,right,55000000.0,2019.0
313,Ignacio Pussetto,ARG,DF,Watford,23,7,0,74,0.8,0,0,180.0,right,7150000.0,2019.0
314,Domingos Quina,POR,MF,Watford,19,4,0,22,0.2,0,0,173.0,right,3520000.0,2019.0
315,Aaron Ramsdale,ENG,GK,Bournemouth,21,37,37,3330,37.0,0,1,191.0,right,13200000.0,2019.0
316,Aaron Ramsdale,ENG,GK,Bournemouth,21,37,37,3330,37.0,0,1,191.0,right,13750000.0,2019.0
317,Darren Randolph,IRL,GK,West Ham,32,2,2,180,2.0,0,0,187.0,right,1650000.0,2019.0
318,Marcus Rashford,ENG,FW,Manchester Utd,21,31,31,2643,29.4,17,7,185.0,right,93500000.0,2019.0
319,Nathan Redmond,ENG,FW,Southampton,25,32,32,2762,30.7,4,4,173.0,right,19800000.0,2019.0
320,Declan Rice,ENG,MF,West Ham,20,38,38,3420,38.0,1,3,185.0,right,71500000.0,2019.0
321,Richarlison,BRA,FW,Everton,22,36,36,3070,34.1,13,3,184.0,right,60500000.0,2019.0
322,Diego Rico,ESP,DF,Bournemouth,26,27,27,2332,25.9,0,4,183.0,left,8800000.0,2019.0
323,Matt Ritchie,SCO,MF,Newcastle Utd,29,18,14,1315,14.6,2,1,173.0,left,3300000.0,2019.0
324,Patrick Roberts,ENG,MF,Norwich City,22,3,0,26,0.3,0,0,167.0,left,2200000.0,2019.0
325,Patrick Roberts,ENG,MF,Norwich City,22,3,0,26,0.3,0,0,167.0,left,3080000.0,2019.0
326,Andrew Robertson,SCO,DF,Liverpool,25,36,34,3111,34.6,2,12,178.0,left,71500000.0,2019.0
327,Callum Robinson,IRL,MF,Sheffield Utd,24,16,9,676,7.5,1,1,178.0,right,6600000.0,2019.0
328,Jack Robinson,ENG,DF,Sheffield Utd,25,6,6,504,5.6,0,0,180.0,left,2200000.0,2019.0
329,Rodri,ESP,MF,Manchester City,23,35,29,2486,27.6,3,2,191.0,right,77000000.0,2019.0
330,Jack Rodwell,ENG,MF,Sheffield Utd,28,1,0,16,0.2,0,0,188.0,right,880000.0,2019.0
331,Oriol Romeu,ESP,MF,Southampton,27,30,20,1860,20.7,0,0,183.0,right,6600000.0,2019.0
332,Danny Rose,ENG,DF,Tottenham,29,12,10,893,9.9,0,0,173.0,left,3300000.0,2019.0
333,Danny Rose,ENG,DF,Newcastle Utd,29,11,10,863,9.6,0,0,173.0,left,3300000.0,2019.0
334,Antonio Rüdiger,GER,DF,Chelsea,26,20,19,1710,19.0,2,0,190.0,right,30800000.0,2019.0
335,Lukas Rupp,GER,MF,Norwich City,28,12,8,695,7.7,0,0,178.0,right,2640000.0,2019.0
336,Mathew Ryan,AUS,GK,Brighton,27,38,38,3420,38.0,0,0,184.0,right,6600000.0,2019.0
337,Mathew Ryan,AUS,GK,Brighton,27,38,38,3420,38.0,0,0,184.0,right,6600000.0,2019.0
338,Allan Saint-Maximin,FRA,FW,Newcastle Utd,22,26,23,1863,20.7,3,4,173.0,right,33000000.0,2019.0
339,Romain Saïss,MAR,DF,Wolves,29,33,31,2705,30.1,2,1,188.0,left,11000000.0,2019.0
340,Bukayo Saka,ENG,FW,Arsenal,17,26,19,1753,19.5,1,5,178.0,left,71500000.0,2019.0
341,Mamadou Sakho,FRA,DF,Crystal Palace,29,14,11,931,10.3,0,0,187.0,left,6600000.0,2019.0
342,Mohamed Salah,EGY,FW,Liverpool,27,34,33,2876,32.0,19,10,175.0,left,110000000.0,2019.0
343,Davinson Sánchez,COL,DF,Tottenham,23,29,27,2431,27.0,0,0,187.0,right,35200000.0,2019.0
344,Fabian Schär,SUI,MF,Newcastle Utd,27,22,18,1672,18.6,2,0,186.0,right,9900000.0,2019.0
345,Jeffrey Schlupp,GHA,MF,Crystal Palace,26,17,11,1036,11.5,3,1,178.0,left,9900000.0,2019.0
346,Kasper Schmeichel,DEN,GK,Leicester City,32,38,38,3420,38.0,0,0,189.0,right,6600000.0,2019.0
347,Ryan Sessegnon,ENG,DF,Tottenham,19,6,4,342,3.8,0,0,178.0,left,19800000.0,2019.0
348,Xherdan Shaqiri,SUI,MF,Liverpool,27,7,2,185,2.1,1,0,169.0,left,13200000.0,2019.0
349,Billy Sharp,ENG,FW,Sheffield Utd,33,25,10,1051,11.7,3,2,175.0,right,550000.0,2019.0
350,Luke Shaw,ENG,DF,Manchester Utd,24,24,20,1733,19.3,0,0,178.0,left,38500000.0,2019.0
351,Jonjo Shelvey,ENG,MF,Newcastle Utd,27,26,25,2119,23.5,6,2,184.0,right,14300000.0,2019.0
352,Bernardo Silva,POR,MF,Manchester City,24,34,23,2030,22.6,6,7,173.0,left,77000000.0,2019.0
353,Jack Simpson,ENG,DF,Bournemouth,22,4,1,241,2.7,0,0,190.0,left,1320000.0,2019.0
354,Moussa Sissoko,FRA,MF,Tottenham,29,29,28,2452,27.2,2,1,187.0,right,11000000.0,2019.0
355,Oliver Skipp,ENG,DF,Tottenham,18,7,1,77,0.9,0,0,175.0,right,11000000.0,2019.0
356,Adam Smith,ENG,DF,Bournemouth,28,24,24,2055,22.8,0,1,174.0,right,7700000.0,2019.0
357,Robert Snodgrass,SCO,FW,West Ham,31,24,17,1509,16.8,5,5,182.0,left,1650000.0,2019.0
358,Robert Snodgrass,SCO,FW,West Ham,31,24,17,1509,16.8,5,5,182.0,left,1650000.0,2019.0
359,Cédric Soares,POR,DF,Southampton,27,16,16,1306,14.5,0,1,171.0,right,6600000.0,2019.0
360,Cédric Soares,POR,DF,Arsenal,27,5,3,249,2.8,1,0,171.0,right,6600000.0,2019.0
361,Dominic Solanke,ENG,MF,Bournemouth,21,32,17,1651,18.3,3,1,186.0,right,13200000.0,2019.0
362,Dennis Srbeny,GER,FW,Norwich City,25,8,0,47,0.5,1,0,190.0,right,880000.0,2019.0
363,Jack Stacey,ENG,DF,Bournemouth,23,19,17,1549,17.2,0,2,180.0,right,3520000.0,2019.0
364,Junior Stanislas,ENG,DF,Bournemouth,29,15,7,712,7.9,3,0,183.0,right,2200000.0,2019.0
365,Jed Steer,ENG,GK,Aston Villa,26,1,1,7,0.1,0,0,183.0,left,880000.0,2019.0
366,Dale Stephens,ENG,MF,Brighton,30,33,28,2530,28.1,0,1,185.0,right,2750000.0,2019.0
367,Dale Stephens,ENG,MF,Brighton,30,33,28,2530,28.1,0,1,185.0,right,2750000.0,2019.0
368,Jack Stephens,ENG,DF,Southampton,25,28,27,2451,27.2,1,3,185.0,right,5500000.0,2019.0
369,Raheem Sterling,ENG,FW,Manchester City,24,33,30,2651,29.5,20,1,170.0,right,99000000.0,2019.0
370,Enda Stevens,IRL,DF,Sheffield Utd,29,38,38,3345,37.2,2,4,183.0,left,3850000.0,2019.0
371,Marco Stiepermann,GER,MF,Norwich City,28,24,14,1180,13.1,0,0,190.0,left,3520000.0,2019.0
372,John Stones,ENG,DF,Manchester City,25,16,12,1122,12.5,0,0,188.0,right,33000000.0,2019.0
373,Isaac Success,NGA,MF,Watford,23,5,0,70,0.8,0,0,182.0,right,3520000.0,2019.0
374,Andrew Surman,ENG,MF,Bournemouth,32,5,2,235,2.6,0,0,178.0,left,1760000.0,2019.0
375,Sam Surridge,ENG,MF,Bournemouth,21,4,0,27,0.3,0,0,190.0,right,495000.0,2019.0
376,Japhet Tanganga,ENG,DF,Tottenham,20,6,6,525,5.8,0,0,184.0,right,8800000.0,2019.0
377,Matt Targett,ENG,DF,Aston Villa,23,28,27,2291,25.5,1,2,183.0,left,18700000.0,2019.0
378,James Tarkowski,ENG,DF,Burnley,26,38,38,3420,38.0,2,2,185.0,right,27500000.0,2019.0
379,Charlie Taylor,ENG,DF,Burnley,25,24,22,1945,21.6,0,1,176.0,left,4400000.0,2019.0
380,Neil Taylor,WAL,DF,Aston Villa,30,14,11,1091,12.1,0,0,176.0,left,1650000.0,2019.0
381,Nathan Tella,ENG,FW,Southampton,20,1,0,3,0.0,0,0,173.0,right,2200000.0,2019.0
382,Alexander Tettey,NOR,DF,Norwich City,33,30,28,2338,26.0,1,1,181.0,right,1760000.0,2019.0
383,Luke Thomas,ENG,DF,Leicester City,18,3,3,267,3.0,0,1,181.0,left,5500000.0,2019.0
384,Youri Tielemans,BEL,MF,Leicester City,22,37,32,2828,31.4,3,6,176.0,right,60500000.0,2019.0
385,Kieran Tierney,SCO,DF,Arsenal,22,15,12,989,11.0,1,1,180.0,left,35200000.0,2019.0
386,James Tomkins,ENG,DF,Crystal Palace,30,18,18,1582,17.6,1,1,192.0,right,2750000.0,2019.0
387,Fikayo Tomori,ENG,DF,Chelsea,21,15,15,1291,14.3,1,0,184.0,right,30800000.0,2019.0
388,Cenk Tosun,TUR,FW,Everton,28,5,2,291,3.2,1,0,183.0,right,5500000.0,2019.0
389,Cenk Tosun,TUR,FW,Crystal Palace,28,5,2,177,2.0,1,0,183.0,right,5500000.0,2019.0
390,Andros Townsend,ENG,MF,Crystal Palace,28,24,14,1294,14.4,1,1,181.0,left,7700000.0,2019.0
391,Adama Traoré,ESP,MF,Wolves,23,37,27,2605,28.9,4,9,178.0,right,33000000.0,2019.0
392,Mark Travers,IRL,GK,Bournemouth,20,1,1,90,1.0,0,0,191.0,right,275000.0,2019.0
393,Leandro Trossard,BEL,MF,Brighton,24,31,22,2011,22.3,5,3,172.0,right,18700000.0,2019.0
394,Tom Trybull,GER,MF,Norwich City,26,16,14,1130,12.6,0,0,181.0,right,3520000.0,2019.0
395,Axel Tuanzebe,ENG,DF,Manchester Utd,21,5,2,189,2.1,0,0,185.0,right,8800000.0,2019.0
396,Yan Valery,FRA,DF,Southampton,20,11,10,779,8.7,0,0,180.0,right,3300000.0,2019.0
397,Jamie Vardy,ENG,FW,Leicester City,32,35,34,3033,33.7,23,5,179.0,right,7700000.0,2019.0
398,Jannik Vestergaard,DEN,DF,Southampton,26,19,17,1497,16.6,1,0,199.0,both,19800000.0,2019.0
399,Rúben Vinagre,POR,DF,Wolves,20,16,6,652,7.2,0,0,174.0,left,5500000.0,2019.0
400,Jake Vokins,ENG,DF,Southampton,19,1,1,90,1.0,0,0,180.0,left,275000.0,2019.0
401,Theo Walcott,ENG,FW,Everton,30,25,17,1287,14.3,2,3,175.0,both,5500000.0,2019.0
402,Theo Walcott,ENG,FW,Everton,30,25,17,1287,14.3,2,3,175.0,both,5500000.0,2019.0
403,Kyle Walker,ENG,DF,Manchester City,29,29,28,2392,26.6,1,4,183.0,right,30800000.0,2019.0
404,Kyle Walker-Peters,ENG,DF,Southampton,22,10,7,703,7.8,0,0,173.0,right,19800000.0,2019.0
405,Kyle Walker-Peters,ENG,DF,Tottenham,22,3,3,241,2.7,0,0,173.0,right,19800000.0,2019.0
406,Aaron Wan-Bissaka,ENG,DF,Manchester Utd,21,35,34,3070,34.1,0,4,183.0,right,44000000.0,2019.0
407,Joel Ward,ENG,DF,Crystal Palace,29,29,27,2382,26.5,0,0,186.0,right,2750000.0,2019.0
408,James Ward-Prowse,ENG,DF,Southampton,24,38,38,3420,38.0,5,3,177.0,right,33000000.0,2019.0
409,Adam Webster,ENG,DF,Brighton,24,31,31,2668,29.6,3,1,190.0,right,19800000.0,2019.0
410,Danny Welbeck,ENG,MF,Watford,28,18,8,822,9.1,2,0,185.0,right,4400000.0,2019.0
411,Danny Welbeck,ENG,MF,Watford,28,18,8,822,9.1,2,0,185.0,right,6050000.0,2019.0
412,Ashley Westwood,ENG,MF,Burnley,29,35,35,3150,35.0,2,6,174.0,right,5500000.0,2019.0
413,Connor Wickham,ENG,MF,Crystal Palace,26,6,0,96,1.1,1,1,189.0,right,1100000.0,2019.0
414,Georginio Wijnaldum,NED,MF,Liverpool,28,37,35,2935,32.6,4,0,175.0,right,33000000.0,2019.0
415,Brandon Williams,ENG,DF,Manchester Utd,18,17,11,1006,11.2,1,0,180.0,right,11000000.0,2019.0
416,Neco Williams,WAL,DF,Liverpool,18,6,3,230,2.6,0,0,183.0,right,8800000.0,2019.0
417,Willian,BRA,FW,Chelsea,30,36,29,2600,28.9,9,7,175.0,right,9900000.0,2019.0
418,Joe Willock,ENG,FW,Arsenal,19,29,8,857,9.5,1,1,186.0,right,17600000.0,2019.0
419,Joe Willock,ENG,FW,Arsenal,19,29,8,857,9.5,1,1,186.0,right,17600000.0,2019.0
420,Jack Wilshere,ENG,MF,West Ham,27,8,2,215,2.4,0,0,172.0,left,2750000.0,2019.0
421,Callum Wilson,ENG,FW,Bournemouth,27,35,32,2908,32.3,8,1,180.0,right,24200000.0,2019.0
422,Callum Wilson,ENG,FW,Bournemouth,27,35,32,2908,32.3,8,1,180.0,right,26400000.0,2019.0
423,Harry Wilson,WAL,FW,Bournemouth,22,31,20,1646,18.3,7,0,173.0,left,18700000.0,2019.0
424,Harry Wilson,WAL,FW,Bournemouth,22,31,20,1646,18.3,7,0,173.0,left,19250000.0,2019.0
425,Harry Winks,ENG,MF,Tottenham,23,31,26,2221,24.7,0,0,178.0,right,22000000.0,2019.0
426,Chris Wood,NZL,FW,Burnley,27,32,29,2437,27.1,14,1,191.0,right,8800000.0,2019.0
427,Granit Xhaka,SUI,MF,Arsenal,26,31,30,2586,28.7,1,2,186.0,left,24200000.0,2019.0
428,Andriy Yarmolenko,UKR,FW,West Ham,29,23,10,991,11.0,5,1,189.0,left,4400000.0,2019.0
429,DeAndre Yedlin,USA,DF,Newcastle Utd,26,16,10,938,10.4,1,0,173.0,right,5500000.0,2019.0
430,Wilfried Zaha,CIV,FW,Crystal Palace,26,38,37,3280,36.4,4,3,180.0,right,49500000.0,2019.0
431,Christoph Zimmermann,GER,DF,Norwich City,26,17,16,1430,15.9,0,1,194.0,right,3080000.0,2019.0
432,Oleksandr Zinchenko,UKR,DF,Manchester City,22,19,13,1276,14.2,0,0,175.0,left,27500000.0,2019.0
433,Kurt Zouma,FRA,DF,Chelsea,24,28,25,2344,26.0,0,0,190.0,right,35200000.0,2019.0
434,Patrick van Aanholt,NED,DF,Crystal Palace,29,22,20,1777,19.7,0,1,176.0,left,7700000.0,2020.0
435,Tammy Abraham,ENG,FW,Chelsea,22,22,12,1040,11.6,6,1,190.0,right,41800000.0,2020.0
436,Tosin Adarabioyo,ENG,DF,Fulham,22,33,33,2953,32.8,0,0,196.0,right,13200000.0,2020.0
437,Adrián,ESP,GK,Liverpool,33,3,3,270,3.0,0,0,190.0,right,1100000.0,2020.0
438,Sergio Agüero,ARG,MF,Manchester City,32,12,7,559,6.2,4,1,173.0,right,19800000.0,2020.0
439,Ola Aina,NGA,DF,Fulham,23,31,31,2664,29.6,2,1,184.0,right,6600000.0,2020.0
440,Rayan Aït Nouri,FRA,DF,Wolves,19,21,16,1404,15.6,1,1,179.0,left,19800000.0,2020.0
441,Semi Ajayi,NGA,DF,West Brom,26,33,31,2780,30.9,2,0,193.0,right,6600000.0,2020.0
442,Nathan Aké,NED,DF,Manchester City,25,10,9,797,8.9,1,0,180.0,left,35200000.0,2020.0
443,Nathan Aké,NED,DF,Manchester City,25,10,9,797,8.9,1,0,180.0,left,30800000.0,2020.0
444,Marc Albrighton,ENG,FW,Leicester City,30,31,17,1746,19.4,1,5,175.0,right,4400000.0,2020.0
445,Toby Alderweireld,BEL,DF,Tottenham,31,25,25,2240,24.9,1,0,187.0,right,12100000.0,2020.0
446,Rúnar Alex Rúnarsson,ISL,GK,Arsenal,25,1,0,16,0.2,0,0,186.0,right,1650000.0,2020.0
447,Trent Alexander-Arnold,ENG,DF,Liverpool,21,36,34,3031,33.7,2,7,180.0,right,82500000.0,2020.0
448,Ezgjan Alioski,MKD,DF,Leeds United,28,36,29,2461,27.3,2,3,171.0,left,5500000.0,2020.0
449,Alisson,BRA,GK,Liverpool,27,33,33,2970,33.0,1,0,191.0,right,66000000.0,2020.0
450,Allan,BRA,MF,Everton,29,24,23,2051,22.8,0,0,175.0,right,24200000.0,2020.0
451,Dele Alli,ENG,MF,Tottenham,24,15,7,620,6.9,0,1,188.0,right,33000000.0,2020.0
452,Miguel Almirón,PAR,FW,Newcastle Utd,26,34,28,2429,27.0,4,1,174.0,left,17600000.0,2020.0
453,Marcos Alonso,ESP,DF,Chelsea,29,13,11,960,10.7,2,0,189.0,left,13200000.0,2020.0
454,Steven Alzate,COL,DF,Brighton,21,15,10,896,10.0,1,0,180.0,right,6600000.0,2020.0
455,Daniel Amartey,GHA,DF,Leicester City,25,12,8,722,8.0,1,0,186.0,right,5500000.0,2020.0
456,Ethan Ampadu,WAL,MF,Sheffield Utd,19,25,23,2089,23.2,0,0,182.0,right,16500000.0,2020.0
457,Ethan Ampadu,WAL,MF,Sheffield Utd,19,25,23,2089,23.2,0,0,182.0,right,16500000.0,2020.0
458,Joachim Andersen,DEN,DF,Fulham,24,31,30,2730,30.3,1,1,192.0,right,24200000.0,2020.0
459,Elliot Anderson,SCO,MF,Newcastle Utd,17,1,0,4,0.0,0,0,179.0,right,220000.0,2020.0
460,Felipe Anderson,BRA,MF,West Ham,27,2,0,3,0.0,0,0,175.0,right,11000000.0,2020.0
461,Michail Antonio,JAM,FW,West Ham,30,26,24,1974,21.9,10,5,180.0,right,13200000.0,2020.0
462,Alphonse Areola,FRA,GK,Fulham,27,36,36,3240,36.0,0,0,195.0,right,18700000.0,2020.0
463,Stuart Armstrong,SCO,MF,Southampton,28,33,32,2764,30.7,4,5,183.0,right,8800000.0,2020.0
464,Kepa Arrizabalaga,ESP,GK,Chelsea,25,7,6,585,6.5,0,0,186.0,right,14300000.0,2020.0
465,Pierre-Emerick Aubameyang,GAB,FW,Arsenal,31,29,26,2332,25.9,10,3,187.0,right,27500000.0,2020.0
466,Serge Aurier,CIV,DF,Tottenham,27,19,19,1605,17.8,2,3,176.0,right,22000000.0,2020.0
467,Charlie Austin,ENG,FW,West Brom,31,5,0,138,1.5,0,0,188.0,right,2200000.0,2020.0
468,Jordan Ayew,GHA,MF,Crystal Palace,28,33,23,2096,23.3,1,3,182.0,right,8800000.0,2020.0
469,Luke Ayling,ENG,DF,Leeds United,28,38,38,3399,37.8,0,0,183.0,right,5500000.0,2020.0
470,César Azpilicueta,ESP,DF,Chelsea,30,26,24,2188,24.3,1,2,178.0,right,14300000.0,2020.0
471,Eric Bailly,CIV,DF,Manchester Utd,26,12,10,916,10.2,0,0,187.0,right,16500000.0,2020.0
472,Fabián Balbuena,PAR,DF,West Ham,28,14,13,1198,13.3,1,0,188.0,right,5500000.0,2020.0
473,George Baldock,ENG,DF,Sheffield Utd,27,32,32,2787,31.0,0,2,178.0,right,5500000.0,2020.0
474,Gareth Bale,WAL,FW,Tottenham,31,20,10,920,10.2,11,2,185.0,left,19800000.0,2020.0
475,Patrick Bamford,ENG,FW,Leeds United,26,38,37,3050,33.9,17,7,185.0,left,24200000.0,2020.0
476,Phil Bardsley,SCO,DF,Burnley,35,4,3,274,3.0,0,0,180.0,right,330000.0,2020.0
477,Ross Barkley,ENG,MF,Aston Villa,26,24,18,1531,17.0,3,1,185.0,right,22000000.0,2020.0
478,Ross Barkley,ENG,MF,Aston Villa,26,24,18,1531,17.0,3,1,185.0,right,22000000.0,2020.0
479,Ross Barkley,ENG,MF,Chelsea,26,2,0,42,0.5,0,0,185.0,right,22000000.0,2020.0
