,Player,Nation,Pos_x,Squad,Age,MP,Starts,Min,90s,Gls,Ast,Height,Foot,Market Value,Year
54,Sam Byram,ENG,DF,Norwich City,25,17,15,1293,14.4,0,0,183.0,right,3080000.0,2019.0
55,Willy Caballero,ARG,GK,Chelsea,37,5,5,450,5.0,0,0,186.0,right,275000.0,2019.0
56,Gary Cahill,ENG,DF,Crystal Palace,33,25,25,2167,24.1,0,1,193.0,right,1650000.0,2019.0
57,Dominic Calvert-Lewin,ENG,FW,Everton,22,36,30,2626,29.2,13,1,189.0,right,49500000.0,2019.0
58,João Cancelo,POR,DF,Manchester City,25,17,13,1208,13.4,0,0,182.0,right,60500000.0,2019.0
59,Todd Cantwell,ENG,MF,Norwich City,21,37,30,2489,27.7,6,2,180.0,right,22000000.0,2019.0
60,Étienne Capoue,FRA,MF,Watford,31,30,30,2627,29.2,0,3,189.0,right,5720000.0,2019.0
61,Andy Carroll,ENG,FW,Newcastle Utd,30,19,4,632,7.0,0,4,193.0,left,1650000.0,2019.0
62,Craig Cathcart,NIR,DF,Watford,30,29,28,2488,27.6,0,0,189.0,right,4400000.0,2019.0
63,Dani Ceballos,ESP,MF,Arsenal,22,24,18,1692,18.8,0,2,179.0,right,29700000.0,2019.0
64,Nathaniel Chalobah,ENG,MF,Watford,24,22,10,930,10.3,0,1,185.0,right,5280000.0,2019.0
65,Calum Chambers,ENG,DF,Arsenal,24,14,13,1102,12.2,1,1,182.0,right,13200000.0,2019.0
66,Ben Chilwell,ENG,DF,Leicester City,22,27,27,2373,26.4,3,3,180.0,left,49500000.0,2019.0
67,Hamza Choudhury,ENG,MF,Leicester City,21,20,10,893,9.9,1,1,178.0,right,7700000.0,2019.0
68,Andreas Christensen,DEN,DF,Chelsea,23,21,21,1751,19.5,0,0,188.0,right,33000000.0,2019.0
69,Ciaran Clark,IRL,DF,Newcastle Utd,29,14,14,1186,13.2,2,0,188.0,left,3300000.0,2019.0
70,Tom Cleverley,ENG,MF,Watford,29,18,11,971,10.8,1,0,175.0,right,5280000.0,2019.0
71,Conor Coady,ENG,DF,Wolves,26,38,38,3420,38.0,0,0,185.0,right,27500000.0,2019.0
72,Aaron Connolly,IRL,FW,Brighton,19,24,14,1258,14.0,3,1,175.0,right,7700000.0,2019.0
73,Lewis Cook,ENG,MF,Bournemouth,22,27,14,1352,15.0,0,0,175.0,right,17600000.0,2019.0
74,Steve Cook,ENG,DF,Bournemouth,28,29,28,2428,27.0,1,0,185.0,right,10450000.0,2019.0
75,Jack Cork,ENG,MF,Burnley,30,30,30,2613,29.0,0,0,185.0,right,5500000.0,2019.0
76,Aaron Cresswell,ENG,DF,West Ham,29,31,31,2727,30.3,3,0,170.0,left,5500000.0,2019.0
77,Patrick Cutrone,ITA,FW,Wolves,21,12,3,297,3.3,2,0,183.0,right,9900000.0,2019.0
78,Diogo Dalot,POR,MF,Manchester Utd,20,4,1,67,0.7,0,0,183.0,right,11000000.0,2019.0
79,Charlie Daniels,ENG,DF,Bournemouth,32,2,2,126,1.4,0,0,178.0,left,1760000.0,2019.0
80,Scott Dann,ENG,DF,Crystal Palace,32,16,14,1266,14.1,0,1,194.0,right,1650000.0,2019.0
81,Ben Davies,WAL,DF,Tottenham,26,18,16,1431,15.9,0,0,185.0,left,3300000.0,2019.0
82,Ben Davies,WAL,DF,Tottenham,26,18,16,1431,15.9,0,0,181.0,left,17600000.0,2019.0
83,Tom Davies,ENG,MF,Everton,21,30,23,2027,22.5,1,0,180.0,right,19800000.0,2019.0
84,Keinan Davis,ENG,FW,Aston Villa,21,18,4,548,6.1,0,0,189.0,left,3300000.0,2019.0
85,Craig Dawson,ENG,DF,Watford,29,29,26,2361,26.2,2,0,188.0,right,5500000.0,2019.0
86,Craig Dawson,ENG,DF,Watford,29,29,26,2361,26.2,2,0,188.0,right,5280000.0,2019.0
87,Kevin De Bruyne,BEL,MF,Manchester City,28,35,32,2791,31.0,13,20,181.0,right,110000000.0,2019.0
88,Troy Deeney,ENG,FW,Watford,31,27,26,2225,24.7,10,2,184.0,right,7150000.0,2019.0
89,Fabian Delph,ENG,MF,Everton,29,16,13,1190,13.2,0,0,174.0,left,3850000.0,2019.0
90,Leander Dendoncker,BEL,DF,Wolves,24,38,32,2795,31.1,4,0,188.0,right,33000000.0,2019.0
91,Gerard Deulofeu,ESP,FW,Watford,25,28,25,2098,23.3,4,5,177.0,right,22000000.0,2019.0
