,Player,Age,MP,Starts,Min,90s,Gls,Ast,Height,Market Value,Year,Foot_both,Foot_left,Foot_right,Pos_x_DF,Pos_x_FW,Pos_x_GK,Pos_x_MF,Squad_OTHER,Squad_TOP_6,Nation_BRTSH,Nation_EU,Nation_WORLD
191,Christian Kabasele,28,27,26,2250,25.0,0,2,187.0,7150000.0,2019.0,0,0,1,1,0,0,0,1,0,0,1,0
192,Harry Kane,26,29,29,2587,28.7,18,2,188.0,132000000.0,2019.0,0,0,1,0,1,0,0,0,1,1,0,0
193,N'Golo Kanté,28,22,20,1732,19.2,3,0,168.0,60500000.0,2019.0,0,0,1,0,0,0,1,0,1,0,1,0
194,Moise Kean,19,29,6,852,9.5,2,2,183.0,38500000.0,2019.0,0,0,1,0,1,0,0,1,0,0,1,0
195,Michael Keane,26,31,28,2559,28.4,2,0,188.0,27500000.0,2019.0,0,0,1,1,0,0,0,1,0,1,0,0
196,Naby Keïta,24,18,9,815,9.1,2,3,172.0,35200000.0,2019.0,0,0,1,0,0,0,1,0,1,0,0,1
197,Lloyd Kelly,20,8,7,639,7.1,0,0,190.0,8800000.0,2019.0,0,1,0,1,0,0,0,1,0,1,0,0
198,Martin Kelly,29,19,17,1549,17.2,0,1,191.0,1650000.0,2019.0,0,0,1,1,0,0,0,1,0,1,0,0
199,Max Kilman,22,3,2,185,2.1,0,0,192.0,4950000.0,2019.0,0,1,0,1,0,0,0,1,0,1,0,0
200,Joshua King,27,26,24,2011,22.3,6,4,187.0,8800000.0,2019.0,0,0,1,0,0,0,1,1,0,0,1,0
201,Joshua King,27,26,24,2011,22.3,6,4,187.0,17600000.0,2019.0,0,0,1,0,0,0,1,1,0,0,1,0
202,Timm Klose,31,7,7,585,6.5,0,0,195.0,2200000.0,2019.0,0,0,1,1,0,0,0,1,0,0,1,0
203,Ezri Konsa,21,25,24,2039,22.7,1,2,183.0,27500000.0,2019.0,0,0,1,1,0,0,0,1,0,1,0,0
204,Cheikhou Kouyaté,29,35,29,2528,28.1,1,1,189.0,6600000.0,2019.0,0,0,1,1,0,0,0,1,0,0,0,1
205,Emil Krafth,24,17,11,1020,11.3,0,1,184.0,3850000.0,2019.0,0,0,1,1,0,0,0,1,0,0,1,0
206,Tim Krul,31,36,36,3240,36.0,0,0,193.0,4400000.0,2019.0,0,1,0,0,0,1,0,1,0,0,1,0
207,Alexandre Lacazette,28,30,22,1874,20.8,10,4,176.0,30800000.0,2019.0,0,0,1,0,1,0,0,0,1,0,1,0
208,Adam Lallana,31,15,3,382,4.2,1,1,172.0,4400000.0,2019.0,1,0,0,0,1,0,0,0,1,1,0,0
209,Tariq Lamptey,18,1,0,32,0.4,0,0,163.0,19800000.0,2019.0,0,0,1,1,0,0,0,0,1,1,0,0
210,Tariq Lamptey,18,8,7,588,6.5,0,1,163.0,19800000.0,2019.0,0,0,1,1,0,0,0,1,0,1,0,0
211,Henri Lansbury,28,10,2,195,2.2,0,0,183.0,1100000.0,2019.0,0,0,1,0,1,0,0,1,0,1,0,0
212,Manuel Lanzini,26,24,14,1379,15.3,0,2,167.0,11000000.0,2019.0,0,0,1,0,1,0,0,1,0,0,0,1
213,Aymeric Laporte,25,15,14,1097,12.2,1,0,189.0,49500000.0,2019.0,0,1,0,1,0,0,0,0,1,0,1,0
214,Jamaal Lascelles,25,24,24,2076,23.1,1,0,188.0,14300000.0,2019.0,0,0,1,1,0,0,0,1,0,1,0,0
215,Moritz Leitner,26,9,7,685,7.6,0,0,178.0,2640000.0,2019.0,0,0,1,0,0,0,1,1,0,0,1,0
216,Bernd Leno,27,30,30,2649,29.4,0,0,190.0,24200000.0,2019.0,0,0,1,0,0,1,0,0,1,0,1,0
217,Jefferson Lerma,24,33,31,2703,30.0,1,2,179.0,22000000.0,2019.0,0,0,1,0,0,0,1,1,0,0,0,1
218,Jamal Lewis,21,28,25,2304,25.6,1,0,178.0,16500000.0,2019.0,0,1,0,1,0,0,0,1,0,0,0,1
219,Jamal Lewis,21,28,25,2304,25.6,1,0,178.0,12100000.0,2019.0,0,1,0,1,0,0,0,1,0,0,0,1
220,Victor Lindelöf,25,35,35,3092,34.4,1,0,187.0,26400000.0,2019.0,0,0,1,1,0,0,0,0,1,0,1,0
221,Jesse Lingard,26,22,9,935,10.4,1,0,174.0,24200000.0,2019.0,0,0,1,0,1,0,0,0,1,1,0,0
222,Jesse Lingard,26,22,9,935,10.4,1,0,174.0,24200000.0,2019.0,0,0,1,0,1,0,0,0,1,1,0,0
223,Hugo Lloris,32,21,21,1807,20.1,0,0,188.0,9900000.0,2019.0,0,1,0,0,0,1,0,0,1,0,1,0
224,Giovani Lo Celso,23,28,15,1492,16.6,0,2,177.0,29700000.0,2019.0,0,1,0,0,1,0,0,0,1,0,0,1
225,Ruben Loftus-Cheek,23,7,2,208,2.3,0,1,190.0,19800000.0,2019.0,0,0,1,0,1,0,0,0,1,1,0,0
226,Ruben Loftus-Cheek,23,7,2,208,2.3,0,1,190.0,19800000.0,2019.0,0,0,1,0,1,0,0,0,1,1,0,0
227,Kevin Long,28,8,6,564,6.3,0,0,188.0,1100000.0,2019.0,0,0,1,1,0,0,0,1,0,1,0,0
228,Shane Long,32,26,15,1395,15.5,2,2,180.0,1320000.0,2019.0,1,0,0,0,1,0,0,1,0,1,0,0
229,Sean Longstaff,21,23,14,1378,15.3,1,1,181.0,16500000.0,2019.0,0,0,1,0,0,0,1,1,0,1,0,0
230,Matthew Lowton,30,17,17,1530,17.0,0,1,180.0,2750000.0,2019.0,0,0,1,1,0,0,0,1,0,1,0,0
231,David Luiz,32,33,32,2809,31.2,2,1,189.0,4400000.0,2019.0,0,0,1,1,0,0,0,0,1,0,0,1
232,Douglas Luiz,21,36,28,2612,29.0,3,2,177.0,38500000.0,2019.0,0,0,1,0,0,0,1,1,0,0,0,1
233,John Lundstram,25,34,26,2458,27.3,5,3,181.0,7700000.0,2019.0,0,0,1,0,0,0,1,1,0,1,0,0
234,Alexis Mac Allister,20,9,4,352,3.9,0,0,174.0,11000000.0,2019.0,0,0,1,0,1,0,0,1,0,0,0,1
235,James Maddison,22,31,29,2624,29.2,6,3,175.0,60500000.0,2019.0,0,0,1,0,0,0,1,1,0,1,0,0
236,Harry Maguire,26,38,38,3420,38.0,1,1,194.0,49500000.0,2019.0,0,0,1,1,0,0,0,0,1,1,0,0
237,Riyad Mahrez,28,33,21,1944,21.6,11,9,179.0,46200000.0,2019.0,0,1,0,0,0,0,1,0,1,0,0,1
238,Ainsley Maitland-Niles,21,20,15,1386,15.4,0,2,180.0,17600000.0,2019.0,0,0,1,1,0,0,0,0,1,1,0,0
239,Ainsley Maitland-Niles,21,20,15,1386,15.4,0,2,180.0,17600000.0,2019.0,0,0,1,1,0,0,0,0,1,1,0,0
240,Sadio Mané,27,35,31,2747,30.5,18,7,174.0,93500000.0,2019.0,0,0,1,0,1,0,0,0,1,0,0,1
241,Javier Manquillo,25,21,18,1599,17.8,0,1,178.0,3300000.0,2019.0,0,0,1,1,0,0,0,1,0,0,1,0
242,Solly March,25,19,11,1143,12.7,0,1,180.0,9900000.0,2019.0,0,1,0,0,1,0,0,1,0,1,0,0
243,Pablo Marí,25,2,2,113,1.3,0,0,193.0,7700000.0,2019.0,0,1,0,1,0,0,0,0,1,0,1,0
244,Adrian Mariappa,32,20,15,1513,16.8,0,0,179.0,1760000.0,2019.0,0,0,1,1,0,0,0,1,0,0,0,1
245,Anthony Martial,23,32,31,2624,29.2,17,6,181.0,49500000.0,2019.0,0,0,1,0,1,0,0,0,1,0,1,0
246,David Martin,33,5,4,436,4.8,0,0,188.0,275000.0,2019.0,0,0,1,0,0,1,0,1,0,1,0,0
247,Emiliano Martínez,26,9,8,771,8.6,0,0,195.0,33000000.0,2019.0,0,0,1,0,0,1,0,0,1,0,0,1
248,Emiliano Martínez,26,9,8,771,8.6,0,0,195.0,33000000.0,2019.0,0,0,1,0,0,1,0,0,1,0,0,1
249,Adam Masina,25,26,20,1821,20.2,1,0,191.0,6050000.0,2019.0,0,1,0,1,0,0,0,1,0,0,0,1
250,Arthur Masuaku,25,17,10,937,10.4,0,1,179.0,7700000.0,2019.0,0,1,0,1,0,0,0,1,0,0,0,1
251,Juan Mata,31,19,8,758,8.4,0,2,170.0,4400000.0,2019.0,0,1,0,0,1,0,0,0,1,0,1,0
252,Neal Maupay,22,37,30,2766,30.7,10,3,173.0,22000000.0,2019.0,0,0,1,0,1,0,0,1,0,0,1,0
253,James McArthur,31,37,37,3090,34.3,0,3,178.0,2200000.0,2019.0,1,0,0,0,0,0,1,1,0,1,0,0
254,Oliver McBurnie,23,36,24,2113,23.5,6,0,188.0,11000000.0,2019.0,0,0,1,0,1,0,0,1,0,1,0,0
255,Alex McCarthy,29,28,28,2520,28.0,0,0,193.0,5500000.0,2019.0,0,0,1,0,0,1,0,1,0,1,0,0
256,James McCarthy,28,33,16,1680,18.7,0,0,180.0,3300000.0,2019.0,0,0,1,0,0,0,1,1,0,1,0,0
257,John McGinn,24,28,27,2312,25.7,3,3,178.0,33000000.0,2019.0,0,1,0,0,0,0,1,1,0,1,0,0
258,David McGoldrick,31,28,22,1815,20.2,2,2,184.0,1650000.0,2019.0,0,0,1,0,1,0,0,1,0,1,0,0
259,Michael McGovern,35,2,1,159,1.8,0,0,190.0,330000.0,2019.0,0,0,1,0,0,1,0,1,0,0,0,1
260,Kenny McLean,27,37,32,2968,33.0,1,1,180.0,3850000.0,2019.0,0,1,0,0,0,0,1,1,0,1,0,0
261,Dwight McNeil,19,38,38,3338,37.1,2,6,183.0,24200000.0,2019.0,0,1,0,0,0,0,1,1,0,1,0,0
262,Scott McTominay,22,27,20,1772,19.7,4,1,191.0,38500000.0,2019.0,0,0,1,0,0,0,1,0,1,1,0,0
263,Ben Mee,29,32,32,2880,32.0,1,1,180.0,6600000.0,2019.0,0,1,0,1,0,0,0,1,0,1,0,0
264,Benjamin Mendy,25,19,18,1492,16.6,0,2,185.0,22000000.0,2019.0,0,1,0,1,0,0,0,0,1,0,1,0
265,Nampalys Mendy,27,7,4,291,3.2,0,0,167.0,8800000.0,2019.0,0,0,1,0,0,0,1,1,0,0,0,1
266,Chris Mepham,21,12,10,912,10.1,1,0,191.0,8800000.0,2019.0,0,0,1,1,0,0,0,1,0,1,0,0
267,Max Meyer,23,17,6,655,7.3,0,0,173.0,1650000.0,2019.0,0,0,1,0,1,0,0,1,0,0,1,0
268,James Milner,33,22,9,937,10.4,2,2,175.0,3300000.0,2019.0,0,0,1,1,0,0,0,0,1,1,0,0
269,Yerry Mina,24,29,25,2284,25.4,2,1,195.0,22000000.0,2019.0,0,0,1,1,0,0,0,1,0,0,0,1
270,Takumi Minamino,24,10,2,249,2.8,0,0,174.0,13200000.0,2019.0,0,0,1,0,0,0,1,0,1,0,0,1
271,Takumi Minamino,24,10,2,249,2.8,0,0,174.0,13200000.0,2019.0,0,0,1,0,0,0,1,0,1,0,0,1
272,Tyrone Mings,26,33,33,2902,32.2,2,2,195.0,33000000.0,2019.0,0,1,0,1,0,0,0,1,0,1,0,0
273,Tyrick Mitchell,19,4,2,195,2.2,0,0,175.0,7700000.0,2019.0,0,1,0,1,0,0,0,1,0,1,0,0
274,Simon Moore,29,2,2,180,2.0,0,0,191.0,440000.0,2019.0,0,0,1,0,0,1,0,1,0,1,0,0
275,Wes Morgan,35,11,4,436,4.8,0,0,185.0,440000.0,2019.0,0,0,1,1,0,0,0,1,0,0,0,1
276,Mason Mount,20,37,32,2867,31.9,7,5,180.0,82500000.0,2019.0,0,0,1,0,1,0,0,0,1,1,0,0
277,Lucas Moura,26,35,25,2242,24.9,4,4,172.0,27500000.0,2019.0,0,0,1,0,0,0,1,0,1,0,0,1
278,Lys Mousset,23,30,11,1240,13.8,6,4,184.0,9900000.0,2019.0,0,0,1,0,1,0,0,1,0,0,1,0
279,João Moutinho,32,38,34,3108,34.5,1,6,170.0,4400000.0,2019.0,0,0,1,0,0,0,1,1,0,0,1,0
280,Shkodran Mustafi,27,15,13,1207,13.4,0,1,184.0,2750000.0,2019.0,0,0,1,1,0,0,0,0,1,0,1,0
281,Marvelous Nakamba,25,29,19,1836,20.4,0,0,177.0,7700000.0,2019.0,0,1,0,0,0,0,1,1,0,0,0,1
282,Wilfred Ndidi,22,32,29,2674,29.7,2,1,183.0,66000000.0,2019.0,0,0,1,0,0,0,1,1,0,0,0,1
283,Reiss Nelson,19,17,7,631,7.0,1,0,175.0,9900000.0,2019.0,0,0,1,0,1,0,0,0,1,1,0,0
284,Pedro Neto,19,29,9,939,10.4,3,3,172.0,38500000.0,2019.0,0,1,0,0,0,0,1,1,0,0,1,0
285,Rúben Neves,22,38,35,3056,34.0,2,2,180.0,49500000.0,2019.0,0,0,1,0,0,0,1,1,0,0,1,0
286,Eddie Nketiah,20,13,7,633,7.0,2,0,180.0,17600000.0,2019.0,0,0,1,0,1,0,0,0,1,1,0,0
287,Mark Noble,32,33,32,2674,29.7,4,3,180.0,2200000.0,2019.0,0,0,1,0,0,0,1,1,0,1,0,0
288,Oliver Norwood,28,38,37,3090,34.3,1,1,175.0,5500000.0,2019.0,0,0,1,0,0,0,1,1,0,0,0,1
289,Jack O'Connell,25,33,32,2916,32.4,0,1,191.0,5500000.0,2019.0,0,1,0,1,0,0,0,1,0,1,0,0
290,Michael Obafemi,19,21,8,665,7.4,3,2,170.0,3300000.0,2019.0,0,0,1,0,1,0,0,1,0,1,0,0
291,Angelo Ogbonna,31,31,31,2786,31.0,2,0,191.0,2750000.0,2019.0,0,1,0,1,0,0,0,1,0,0,1,0
292,Divock Origi,24,28,7,717,8.0,4,1,185.0,13200000.0,2019.0,0,0,1,0,1,0,0,0,1,0,1,0
293,Ben Osborn,24,13,6,594,6.6,0,0,176.0,2200000.0,2019.0,0,1,0,1,0,0,0,1,0,1,0,0
294,Nicolás Otamendi,31,24,18,1715,19.1,2,0,183.0,8800000.0,2019.0,0,0,1,1,0,0,0,0,1,0,0,1
295,Alex Oxlade-Chamberlain,25,30,17,1485,16.5,4,1,175.0,19800000.0,2019.0,0,0,1,0,1,0,0,0,1,1,0,0
296,Rui Patrício,31,38,38,3420,38.0,0,0,190.0,11000000.0,2019.0,0,1,0,0,0,1,0,1,0,0,1,0
297,João Pedro,17,3,0,25,0.3,0,0,182.0,19800000.0,2019.0,0,0,1,0,0,0,1,1,0,0,0,1
298,Nicolas Pépé,24,31,22,2010,22.3,5,6,183.0,38500000.0,2019.0,0,1,0,0,1,0,0,0,1,0,0,1
299,Ricardo Pereira,25,28,28,2520,28.0,3,2,175.0,33000000.0,2019.0,0,0,1,1,0,0,0,1,0,0,1,0
300,Roberto Pereyra,28,28,17,1648,18.3,3,0,182.0,9900000.0,2019.0,1,0,0,0,0,0,1,1,0,0,0,1
301,Ayoze Pérez,26,33,26,2004,22.3,8,4,178.0,19800000.0,2019.0,0,0,1,0,1,0,0,1,0,0,1,0
302,Jordan Pickford,25,38,38,3420,38.0,0,0,185.0,24200000.0,2019.0,0,1,0,0,0,1,0,1,0,1,0,0
303,Brandon Pierrick,17,2,0,15,0.2,0,0,182.0,275000.0,2019.0,0,0,1,0,1,0,0,1,0,1,0,0
304,Erik Pieters,30,24,21,1878,20.9,0,4,183.0,1650000.0,2019.0,0,1,0,0,0,0,1,1,0,0,1,0
305,Daniel Podence,23,9,3,289,3.2,1,0,165.0,27500000.0,2019.0,0,0,1,0,0,0,1,1,0,0,1,0
306,Paul Pogba,26,16,13,1204,13.4,1,3,191.0,66000000.0,2019.0,1,0,0,0,0,0,1,0,1,0,1,0
307,Nick Pope,27,38,38,3420,38.0,0,0,198.0,16500000.0,2019.0,0,0,1,0,0,1,0,1,0,1,0,0
308,Dennis Praet,25,27,12,1134,12.6,1,2,181.0,19800000.0,2019.0,0,0,1,0,0,0,1,1,0,0,1,0
309,Sebastian Prödl,32,1,1,56,0.6,0,0,194.0,1320000.0,2019.0,0,0,1,1,0,0,0,1,0,0,1,0
310,Davy Pröpper,27,35,32,2829,31.4,1,2,185.0,8800000.0,2019.0,0,0,1,0,0,0,1,1,0,0,1,0
311,Teemu Pukki,29,36,33,2886,32.1,11,3,180.0,8800000.0,2019.0,0,0,1,0,1,0,0,1,0,0,1,0
312,Christian Pulisic,20,25,19,1722,19.1,9,4,177.0,55000000.0,2019.0,0,0,1,0,1,0,0,0,1,0,0,1
313,Ignacio Pussetto,23,7,0,74,0.8,0,0,180.0,7150000.0,2019.0,0,0,1,1,0,0,0,1,0,0,0,1
314,Domingos Quina,19,4,0,22,0.2,0,0,173.0,3520000.0,2019.0,0,0,1,0,0,0,1,1,0,0,1,0
315,Aaron Ramsdale,21,37,37,3330,37.0,0,1,191.0,13200000.0,2019.0,0,0,1,0,0,1,0,1,0,1,0,0
316,Aaron Ramsdale,21,37,37,3330,37.0,0,1,191.0,13750000.0,2019.0,0,0,1,0,0,1,0,1,0,1,0,0
317,Darren Randolph,32,2,2,180,2.0,0,0,187.0,1650000.0,2019.0,0,0,1,0,0,1,0,1,0,1,0,0
318,Marcus Rashford,21,31,31,2643,29.4,17,7,185.0,93500000.0,2019.0,0,0,1,0,1,0,0,0,1,1,0,0
319,Nathan Redmond,25,32,32,2762,30.7,4,4,173.0,19800000.0,2019.0,0,0,1,0,1,0,0,1,0,1,0,0
320,Declan Rice,20,38,38,3420,38.0,1,3,185.0,71500000.0,2019.0,0,0,1,0,0,0,1,1,0,1,0,0
321,Richarlison,22,36,36,3070,34.1,13,3,184.0,60500000.0,2019.0,0,0,1,0,1,0,0,1,0,0,0,1
322,Diego Rico,26,27,27,2332,25.9,0,4,183.0,8800000.0,2019.0,0,1,0,1,0,0,0,1,0,0,1,0
323,Matt Ritchie,29,18,14,1315,14.6,2,1,173.0,3300000.0,2019.0,0,1,0,0,0,0,1,1,0,1,0,0
324,Patrick Roberts,22,3,0,26,0.3,0,0,167.0,2200000.0,2019.0,0,1,0,0,0,0,1,1,0,1,0,0
325,Patrick Roberts,22,3,0,26,0.3,0,0,167.0,3080000.0,2019.0,0,1,0,0,0,0,1,1,0,1,0,0
326,Andrew Robertson,25,36,34,3111,34.6,2,12,178.0,71500000.0,2019.0,0,1,0,1,0,0,0,0,1,1,0,0
327,Callum Robinson,24,16,9,676,7.5,1,1,178.0,6600000.0,2019.0,0,0,1,0,0,0,1,1,0,1,0,0
328,Jack Robinson,25,6,6,504,5.6,0,0,180.0,2200000.0,2019.0,0,1,0,1,0,0,0,1,0,1,0,0
329,Rodri,23,35,29,2486,27.6,3,2,191.0,77000000.0,2019.0,0,0,1,0,0,0,1,0,1,0,1,0
330,Jack Rodwell,28,1,0,16,0.2,0,0,188.0,880000.0,2019.0,0,0,1,0,0,0,1,1,0,1,0,0
331,Oriol Romeu,27,30,20,1860,20.7,0,0,183.0,6600000.0,2019.0,0,0,1,0,0,0,1,1,0,0,1,0
332,Danny Rose,29,12,10,893,9.9,0,0,173.0,3300000.0,2019.0,0,1,0,1,0,0,0,0,1,1,0,0
333,Danny Rose,29,11,10,863,9.6,0,0,173.0,3300000.0,2019.0,0,1,0,1,0,0,0,1,0,1,0,0
334,Antonio Rüdiger,26,20,19,1710,19.0,2,0,190.0,30800000.0,2019.0,0,0,1,1,0,0,0,0,1,0,1,0
335,Lukas Rupp,28,12,8,695,7.7,0,0,178.0,2640000.0,2019.0,0,0,1,0,0,0,1,1,0,0,1,0
336,Mathew Ryan,27,38,38,3420,38.0,0,0,184.0,6600000.0,2019.0,0,0,1,0,0,1,0,1,0,0,0,1
337,Mathew Ryan,27,38,38,3420,38.0,0,0,184.0,6600000.0,2019.0,0,0,1,0,0,1,0,1,0,0,0,1
338,Allan Saint-Maximin,22,26,23,1863,20.7,3,4,173.0,33000000.0,2019.0,0,0,1,0,1,0,0,1,0,0,1,0
339,Romain Saïss,29,33,31,2705,30.1,2,1,188.0,11000000.0,2019.0,0,1,0,1,0,0,0,1,0,0,0,1
340,Bukayo Saka,17,26,19,1753,19.5,1,5,178.0,71500000.0,2019.0,0,1,0,0,1,0,0,0,1,1,0,0
341,Mamadou Sakho,29,14,11,931,10.3,0,0,187.0,6600000.0,2019.0,0,1,0,1,0,0,0,1,0,0,1,0
342,Mohamed Salah,27,34,33,2876,32.0,19,10,175.0,110000000.0,2019.0,0,1,0,0,1,0,0,0,1,0,0,1
343,Davinson Sánchez,23,29,27,2431,27.0,0,0,187.0,35200000.0,2019.0,0,0,1,1,0,0,0,0,1,0,0,1
344,Fabian Schär,27,22,18,1672,18.6,2,0,186.0,9900000.0,2019.0,0,0,1,0,0,0,1,1,0,0,1,0
345,Jeffrey Schlupp,26,17,11,1036,11.5,3,1,178.0,9900000.0,2019.0,0,1,0,0,0,0,1,1,0,0,0,1
346,Kasper Schmeichel,32,38,38,3420,38.0,0,0,189.0,6600000.0,2019.0,0,0,1,0,0,1,0,1,0,0,1,0
347,Ryan Sessegnon,19,6,4,342,3.8,0,0,178.0,19800000.0,2019.0,0,1,0,1,0,0,0,0,1,1,0,0
348,Xherdan Shaqiri,27,7,2,185,2.1,1,0,169.0,13200000.0,2019.0,0,1,0,0,0,0,1,0,1,0,1,0
349,Billy Sharp,33,25,10,1051,11.7,3,2,175.0,550000.0,2019.0,0,0,1,0,1,0,0,1,0,1,0,0
350,Luke Shaw,24,24,20,1733,19.3,0,0,178.0,38500000.0,2019.0,0,1,0,1,0,0,0,0,1,1,0,0
351,Jonjo Shelvey,27,26,25,2119,23.5,6,2,184.0,14300000.0,2019.0,0,0,1,0,0,0,1,1,0,1,0,0
352,Bernardo Silva,24,34,23,2030,22.6,6,7,173.0,77000000.0,2019.0,0,1,0,0,0,0,1,0,1,0,1,0
353,Jack Simpson,22,4,1,241,2.7,0,0,190.0,1320000.0,2019.0,0,1,0,1,0,0,0,1,0,1,0,0
354,Moussa Sissoko,29,29,28,2452,27.2,2,1,187.0,11000000.0,2019.0,0,0,1,0,0,0,1,0,1,0,1,0
355,Oliver Skipp,18,7,1,77,0.9,0,0,175.0,11000000.0,2019.0,0,0,1,1,0,0,0,0,1,1,0,0
356,Adam Smith,28,24,24,2055,22.8,0,1,174.0,7700000.0,2019.0,0,0,1,1,0,0,0,1,0,1,0,0
357,Robert Snodgrass,31,24,17,1509,16.8,5,5,182.0,1650000.0,2019.0,0,1,0,0,1,0,0,1,0,1,0,0
358,Robert Snodgrass,31,24,17,1509,16.8,5,5,182.0,1650000.0,2019.0,0,1,0,0,1,0,0,1,0,1,0,0
359,Cédric Soares,27,16,16,1306,14.5,0,1,171.0,6600000.0,2019.0,0,0,1,1,0,0,0,1,0,0,1,0
360,Cédric Soares,27,5,3,249,2.8,1,0,171.0,6600000.0,2019.0,0,0,1,1,0,0,0,0,1,0,1,0
361,Dominic Solanke,21,32,17,1651,18.3,3,1,186.0,13200000.0,2019.0,0,0,1,0,0,0,1,1,0,1,0,0
362,Dennis Srbeny,25,8,0,47,0.5,1,0,190.0,880000.0,2019.0,0,0,1,0,1,0,0,1,0,0,1,0
363,Jack Stacey,23,19,17,1549,17.2,0,2,180.0,3520000.0,2019.0,0,0,1,1,0,0,0,1,0,1,0,0
364,Junior Stanislas,29,15,7,712,7.9,3,0,183.0,2200000.0,2019.0,0,0,1,1,0,0,0,1,0,1,0,0
365,Jed Steer,26,1,1,7,0.1,0,0,183.0,880000.0,2019.0,0,1,0,0,0,1,0,1,0,1,0,0
366,Dale Stephens,30,33,28,2530,28.1,0,1,185.0,2750000.0,2019.0,0,0,1,0,0,0,1,1,0,1,0,0
367,Dale Stephens,30,33,28,2530,28.1,0,1,185.0,2750000.0,2019.0,0,0,1,0,0,0,1,1,0,1,0,0
368,Jack Stephens,25,28,27,2451,27.2,1,3,185.0,5500000.0,2019.0,0,0,1,1,0,0,0,1,0,1,0,0
369,Raheem Sterling,24,33,30,2651,29.5,20,1,170.0,99000000.0,2019.0,0,0,1,0,1,0,0,0,1,1,0,0
370,Enda Stevens,29,38,38,3345,37.2,2,4,183.0,3850000.0,2019.0,0,1,0,1,0,0,0,1,0,1,0,0
371,Marco Stiepermann,28,24,14,1180,13.1,0,0,190.0,3520000.0,2019.0,0,1,0,0,0,0,1,1,0,0,1,0
372,John Stones,25,16,12,1122,12.5,0,0,188.0,33000000.0,2019.0,0,0,1,1,0,0,0,0,1,1,0,0
373,Isaac Success,23,5,0,70,0.8,0,0,182.0,3520000.0,2019.0,0,0,1,0,0,0,1,1,0,0,0,1
374,Andrew Surman,32,5,2,235,2.6,0,0,178.0,1760000.0,2019.0,0,1,0,0,0,0,1,1,0,1,0,0
375,Sam Surridge,21,4,0,27,0.3,0,0,190.0,495000.0,2019.0,0,0,1,0,0,0,1,1,0,1,0,0
376,Japhet Tanganga,20,6,6,525,5.8,0,0,184.0,8800000.0,2019.0,0,0,1,1,0,0,0,0,1,1,0,0
377,Matt Targett,23,28,27,2291,25.5,1,2,183.0,18700000.0,2019.0,0,1,0,1,0,0,0,1,0,1,0,0
378,James Tarkowski,26,38,38,3420,38.0,2,2,185.0,27500000.0,2019.0,0,0,1,1,0,0,0,1,0,1,0,0
379,Charlie Taylor,25,24,22,1945,21.6,0,1,176.0,4400000.0,2019.0,0,1,0,1,0,0,0,1,0,1,0,0
380,Neil Taylor,30,14,11,1091,12.1,0,0,176.0,1650000.0,2019.0,0,1,0,1,0,0,0,1,0,1,0,0
381,Nathan Tella,20,1,0,3,0.0,0,0,173.0,2200000.0,2019.0,0,0,1,0,1,0,0,1,0,1,0,0
382,Alexander Tettey,33,30,28,2338,26.0,1,1,181.0,1760000.0,2019.0,0,0,1,1,0,0,0,1,0,0,1,0
383,Luke Thomas,18,3,3,267,3.0,0,1,181.0,5500000.0,2019.0,0,1,0,1,0,0,0,1,0,1,0,0
384,Youri Tielemans,22,37,32,2828,31.4,3,6,176.0,60500000.0,2019.0,0,0,1,0,0,0,1,1,0,0,1,0
385,Kieran Tierney,22,15,12,989,11.0,1,1,180.0,35200000.0,2019.0,0,1,0,1,0,0,0,0,1,1,0,0
386,James Tomkins,30,18,18,1582,17.6,1,1,192.0,2750000.0,2019.0,0,0,1,1,0,0,0,1,0,1,0,0
387,Fikayo Tomori,21,15,15,1291,14.3,1,0,184.0,30800000.0,2019.0,0,0,1,1,0,0,0,0,1,1,0,0
388,Cenk Tosun,28,5,2,291,3.2,1,0,183.0,5500000.0,2019.0,0,0,1,0,1,0,0,1,0,0,1,0
389,Cenk Tosun,28,5,2,177,2.0,1,0,183.0,5500000.0,2019.0,0,0,1,0,1,0,0,1,0,0,1,0
390,Andros Townsend,28,24,14,1294,14.4,1,1,181.0,7700000.0,2019.0,0,1,0,0,0,0,1,1,0,1,0,0
391,Adama Traoré,23,37,27,2605,28.9,4,9,178.0,33000000.0,2019.0,0,0,1,0,0,0,1,1,0,0,1,0
392,Mark Travers,20,1,1,90,1.0,0,0,191.0,275000.0,2019.0,0,0,1,0,0,1,0,1,0,1,0,0
393,Leandro Trossard,24,31,22,2011,22.3,5,3,172.0,18700000.0,2019.0,0,0,1,0,0,0,1,1,0,0,1,0
394,Tom Trybull,26,16,14,1130,12.6,0,0,181.0,3520000.0,2019.0,0,0,1,0,0,0,1,1,0,0,1,0
395,Axel Tuanzebe,21,5,2,189,2.1,0,0,185.0,8800000.0,2019.0,0,0,1,1,0,0,0,0,1,1,0,0
396,Yan Valery,20,11,10,779,8.7,0,0,180.0,3300000.0,2019.0,0,0,1,1,0,0,0,1,0,0,1,0
397,Jamie Vardy,32,35,34,3033,33.7,23,5,179.0,7700000.0,2019.0,0,0,1,0,1,0,0,1,0,1,0,0
398,Jannik Vestergaard,26,19,17,1497,16.6,1,0,199.0,19800000.0,2019.0,1,0,0,1,0,0,0,1,0,0,1,0
