,Player,Age,MP,Starts,Min,90s,Gls,Ast,Height,Market Value,Year,Foot_both,Foot_left,Foot_right,Pos_x_DF,Pos_x_FW,Pos_x_GK,Pos_x_MF,Squad_OTHER,Squad_TOP_6,Nation_BRTSH,Nation_EU,Nation_WORLD
46,Yves Bissouma,22,22,15,1259,14.0,1,0,182.0,27500000.0,2019.0,0,0,1,0,0,0,1,1,0,0,0,1
47,Willy Boly,28,22,22,1979,22.0,0,1,195.0,15400000.0,2019.0,0,0,1,1,0,0,0,1,0,0,0,1
48,Jarrod Bowen,22,13,11,917,10.2,1,4,175.0,33000000.0,2019.0,0,1,0,0,1,0,0,1,0,1,0,0
49,Robbie Brady,27,17,5,454,5.0,1,2,176.0,3300000.0,2019.0,0,1,0,0,0,0,1,1,0,1,0,0
50,Jarrad Branthwaite,17,4,2,300,3.3,0,0,195.0,3300000.0,2019.0,0,1,0,1,0,0,0,1,0,1,0,0
51,David Brooks,22,9,8,506,5.6,1,0,173.0,26400000.0,2019.0,0,1,0,0,0,0,1,1,0,1,0,0
52,Josh Brownhill,23,10,9,805,8.9,0,0,179.0,7700000.0,2019.0,0,0,1,0,0,0,1,1,0,1,0,0
53,Dan Burn,27,34,33,2880,32.0,0,0,201.0,5500000.0,2019.0,0,1,0,1,0,0,0,1,0,1,0,0
54,Sam Byram,25,17,15,1293,14.4,0,0,183.0,3080000.0,2019.0,0,0,1,1,0,0,0,1,0,1,0,0
55,Willy Caballero,37,5,5,450,5.0,0,0,186.0,275000.0,2019.0,0,0,1,0,0,1,0,0,1,0,0,1
56,Gary Cahill,33,25,25,2167,24.1,0,1,193.0,1650000.0,2019.0,0,0,1,1,0,0,0,1,0,1,0,0
57,Dominic Calvert-Lewin,22,36,30,2626,29.2,13,1,189.0,49500000.0,2019.0,0,0,1,0,1,0,0,1,0,1,0,0
58,João Cancelo,25,17,13,1208,13.4,0,0,182.0,60500000.0,2019.0,0,0,1,1,0,0,0,0,1,0,1,0
59,Todd Cantwell,21,37,30,2489,27.7,6,2,180.0,22000000.0,2019.0,0,0,1,0,0,0,1,1,0,1,0,0
60,Étienne Capoue,31,30,30,2627,29.2,0,3,189.0,5720000.0,2019.0,0,0,1,0,0,0,1,1,0,0,1,0
61,Andy Carroll,30,19,4,632,7.0,0,4,193.0,1650000.0,2019.0,0,1,0,0,1,0,0,1,0,1,0,0
62,Craig Cathcart,30,29,28,2488,27.6,0,0,189.0,4400000.0,2019.0,0,0,1,1,0,0,0,1,0,0,0,1
63,Dani Ceballos,22,24,18,1692,18.8,0,2,179.0,29700000.0,2019.0,0,0,1,0,0,0,1,0,1,0,1,0
64,Nathaniel Chalobah,24,22,10,930,10.3,0,1,185.0,5280000.0,2019.0,0,0,1,0,0,0,1,1,0,1,0,0
65,Calum Chambers,24,14,13,1102,12.2,1,1,182.0,13200000.0,2019.0,0,0,1,1,0,0,0,0,1,1,0,0
66,Ben Chilwell,22,27,27,2373,26.4,3,3,180.0,49500000.0,2019.0,0,1,0,1,0,0,0,1,0,1,0,0
67,Hamza Choudhury,21,20,10,893,9.9,1,1,178.0,7700000.0,2019.0,0,0,1,0,0,0,1,1,0,1,0,0
68,Andreas Christensen,23,21,21,1751,19.5,0,0,188.0,33000000.0,2019.0,0,0,1,1,0,0,0,0,1,0,1,0
69,Ciaran Clark,29,14,14,1186,13.2,2,0,188.0,3300000.0,2019.0,0,1,0,1,0,0,0,1,0,1,0,0
70,Tom Cleverley,29,18,11,971,10.8,1,0,175.0,5280000.0,2019.0,0,0,1,0,0,0,1,1,0,1,0,0
71,Conor Coady,26,38,38,3420,38.0,0,0,185.0,27500000.0,2019.0,0,0,1,1,0,0,0,1,0,1,0,0
72,Aaron Connolly,19,24,14,1258,14.0,3,1,175.0,7700000.0,2019.0,0,0,1,0,1,0,0,1,0,1,0,0
73,Lewis Cook,22,27,14,1352,15.0,0,0,175.0,17600000.0,2019.0,0,0,1,0,0,0,1,1,0,1,0,0
74,Steve Cook,28,29,28,2428,27.0,1,0,185.0,10450000.0,2019.0,0,0,1,1,0,0,0,1,0,1,0,0
75,Jack Cork,30,30,30,2613,29.0,0,0,185.0,5500000.0,2019.0,0,0,1,0,0,0,1,1,0,1,0,0
76,Aaron Cresswell,29,31,31,2727,30.3,3,0,170.0,5500000.0,2019.0,0,1,0,1,0,0,0,1,0,1,0,0
77,Patrick Cutrone,21,12,3,297,3.3,2,0,183.0,9900000.0,2019.0,0,0,1,0,1,0,0,1,0,0,1,0
78,Diogo Dalot,20,4,1,67,0.7,0,0,183.0,11000000.0,2019.0,0,0,1,0,0,0,1,0,1,0,1,0
79,Charlie Daniels,32,2,2,126,1.4,0,0,178.0,1760000.0,2019.0,0,1,0,1,0,0,0,1,0,1,0,0
80,Scott Dann,32,16,14,1266,14.1,0,1,194.0,1650000.0,2019.0,0,0,1,1,0,0,0,1,0,1,0,0
81,Ben Davies,26,18,16,1431,15.9,0,0,185.0,3300000.0,2019.0,0,1,0,1,0,0,0,0,1,1,0,0
82,Ben Davies,26,18,16,1431,15.9,0,0,181.0,17600000.0,2019.0,0,1,0,1,0,0,0,0,1,1,0,0
83,Tom Davies,21,30,23,2027,22.5,1,0,180.0,19800000.0,2019.0,0,0,1,0,0,0,1,1,0,1,0,0
84,Keinan Davis,21,18,4,548,6.1,0,0,189.0,3300000.0,2019.0,0,1,0,0,1,0,0,1,0,1,0,0
85,Craig Dawson,29,29,26,2361,26.2,2,0,188.0,5500000.0,2019.0,0,0,1,1,0,0,0,1,0,1,0,0
86,Craig Dawson,29,29,26,2361,26.2,2,0,188.0,5280000.0,2019.0,0,0,1,1,0,0,0,1,0,1,0,0
87,Kevin De Bruyne,28,35,32,2791,31.0,13,20,181.0,110000000.0,2019.0,0,0,1,0,0,0,1,0,1,0,1,0
88,Troy Deeney,31,27,26,2225,24.7,10,2,184.0,7150000.0,2019.0,0,0,1,0,1,0,0,1,0,1,0,0
89,Fabian Delph,29,16,13,1190,13.2,0,0,174.0,3850000.0,2019.0,0,1,0,0,0,0,1,1,0,1,0,0
90,Leander Dendoncker,24,38,32,2795,31.1,4,0,188.0,33000000.0,2019.0,0,0,1,1,0,0,0,1,0,0,1,0
91,Gerard Deulofeu,25,28,25,2098,23.3,4,5,177.0,22000000.0,2019.0,0,0,1,0,1,0,0,1,0,0,1,0
92,Eric Dier,25,19,15,1344,14.9,0,2,188.0,24200000.0,2019.0,0,0,1,0,0,0,1,0,1,1,0,0
93,Lucas Digne,26,35,35,3030,33.7,0,7,178.0,38500000.0,2019.0,0,1,0,1,0,0,0,1,0,0,1,0
94,Virgil van Dijk,28,38,38,3420,38.0,5,1,193.0,60500000.0,2019.0,0,0,1,1,0,0,0,0,1,0,1,0
95,Issa Diop,22,32,31,2766,30.7,3,1,194.0,19800000.0,2019.0,0,0,1,1,0,0,0,1,0,0,1,0
96,Moussa Djenepo,21,18,10,928,10.3,2,2,177.0,14300000.0,2019.0,0,0,1,1,0,0,0,1,0,0,0,1
97,Matt Doherty,27,36,32,2839,31.5,4,3,185.0,17600000.0,2019.0,0,0,1,1,0,0,0,1,0,1,0,0
98,Abdoulaye Doucouré,26,37,36,3156,35.1,4,2,183.0,27500000.0,2019.0,0,0,1,0,0,0,1,1,0,0,1,0
99,Abdoulaye Doucouré,26,37,36,3156,35.1,4,2,183.0,22000000.0,2019.0,0,0,1,0,0,0,1,1,0,0,1,0
100,Ondrej Duda,24,10,9,724,8.0,0,0,181.0,11550000.0,2019.0,0,0,1,0,0,0,1,1,0,0,1,0
101,Shane Duffy,27,19,12,1238,13.8,1,0,193.0,5500000.0,2019.0,0,0,1,1,0,0,0,1,0,1,0,0
102,Paul Dummett,27,16,14,1228,13.6,0,0,183.0,3300000.0,2019.0,0,1,0,1,0,0,0,1,0,1,0,0
103,Lewis Dunk,27,36,36,3230,35.9,3,3,192.0,27500000.0,2019.0,0,0,1,1,0,0,0,1,0,1,0,0
104,Ederson,25,35,35,3071,34.1,0,0,188.0,55000000.0,2019.0,0,1,0,0,0,1,0,0,1,0,0,1
105,John Egan,26,36,36,3187,35.4,2,0,185.0,9900000.0,2019.0,0,0,1,1,0,0,0,1,0,1,0,0
106,Harvey Elliott,16,2,0,8,0.1,0,0,170.0,16500000.0,2019.0,0,1,0,1,0,0,0,0,1,1,0,0
107,Ahmed Elmohamady,31,18,11,1031,11.5,1,1,182.0,1650000.0,2019.0,0,0,1,1,0,0,0,1,0,0,0,1
108,Björn Engels,24,17,15,1447,16.1,1,0,194.0,3300000.0,2019.0,0,0,1,1,0,0,0,1,0,0,1,0
109,Jonny Evans,31,38,38,3383,37.6,1,1,188.0,7700000.0,2019.0,1,0,0,1,0,0,0,1,0,0,0,1
110,Fabinho,25,28,22,2079,23.1,2,3,188.0,66000000.0,2019.0,0,0,1,0,0,0,1,0,1,0,0,1
111,Ralf Fährmann,30,1,1,21,0.2,0,0,197.0,1760000.0,2019.0,0,0,1,0,0,1,0,1,0,0,1,0
112,Akin Famewo,20,1,0,1,0.0,0,0,188.0,28000.0,2019.0,0,1,0,0,0,0,1,1,0,1,0,0
113,Kiko Femenía,28,28,26,2237,24.9,0,0,171.0,5280000.0,2019.0,0,0,1,1,0,0,0,1,0,0,1,0
114,Bruno Fernandes,24,14,14,1186,13.2,8,7,179.0,99000000.0,2019.0,0,0,1,0,0,0,1,0,1,0,1,0
115,Gedson Fernandes,20,7,0,68,0.8,0,0,182.0,13750000.0,2019.0,0,0,1,1,0,0,0,0,1,0,1,0
116,Federico Fernández,30,32,29,2620,29.1,2,2,190.0,3300000.0,2019.0,0,0,1,1,0,0,0,1,0,0,0,1
117,Fernandinho,34,30,26,2397,26.6,0,1,179.0,2200000.0,2019.0,0,0,1,1,0,0,0,0,1,0,0,1
118,Roberto Firmino,27,38,34,2988,33.2,9,8,181.0,55000000.0,2019.0,0,0,1,0,1,0,0,0,1,0,0,1
119,John Fleck,27,30,28,2516,28.0,5,2,169.0,5500000.0,2019.0,0,1,0,0,0,0,1,1,0,1,0,0
120,Phil Foden,19,23,9,901,10.0,5,2,171.0,88000000.0,2019.0,0,1,0,0,0,0,1,0,1,1,0,0
121,Pablo Fornals,23,36,24,2172,24.1,2,5,178.0,19800000.0,2019.0,0,0,1,0,1,0,0,1,0,0,1,0
122,Ben Foster,36,38,38,3420,38.0,0,0,193.0,1320000.0,2019.0,0,1,0,0,0,1,0,1,0,1,0,0
123,Timothy Fosu-Mensah,21,3,2,136,1.5,0,0,185.0,4400000.0,2019.0,0,0,1,1,0,0,0,0,1,0,1,0
124,Dimitri Foulquier,26,3,1,59,0.7,0,0,183.0,2200000.0,2019.0,0,0,1,0,0,0,1,1,0,0,1,0
125,Simon Francis,34,15,10,969,10.8,0,0,191.0,880000.0,2019.0,0,0,1,1,0,0,0,1,0,1,0,0
